Case_Identification_Variable,RESPONDENTS_SEX,Pro_government_Attitudes,Pro_government_Attitudes_12_months
20040003,1,25,30
20040004,1, , 
20040006,1, , 
20040007,1, , 
20040008,1,26,27
20040009,1, , 
20040010,1,24,32
20040011,1,12,30
20040013,1,16,25
20040014,1, , 
20040015,1, , 
20040016,1,18,22
20040018,1, , 
20040020,1,27,33
20040023,1,28,36
20040024,1, , 
20040025,1, , 
20040028,1, , 
20040029,1, , 
20040030,1,25,38
20040032,1,28,38
20040033,1, , 
20040034,1, , 
20040038,1,27,36
20040040,1, , 
20040042,1, , 
20040043,1, , 
20040045,1, , 
20040046,1,25,38
20040048,1,13,18
20040051,1, , 
20040052,1,23,38
20040054,1, , 
20040055,1,27,36
20040057,1,27,33
20040060,1,25,33
20040061,1,27,31
20040062,1,23,39
20040064,1, , 
20040065,1,26,30
20040077,1, , 
20040078,1, , 
20040082,1, , 
20040084,1,27,39
20040085,1, , 
20040086,1, , 
20040087,1,28,42
20040089,1,26,36
20040092,1,25,35
20040093,1,21,33
20040098,1, , 
20040099,1,25,23
20040101,1, , 
20040107,1, , 
20040108,1, , 
20040109,1, , 
20040111,1, , 
20040112,1,23,45
20040117,1,25,32
20040118,1, , 
20040120,1,28,43
20040122,1,22,37
20040123,1, , 
20040124,1, , 
20040126,1, , 
20040127,1, , 
20040129,1,28,37
20040130,1,24,40
20040133,1,26,41
20040134,1, , 
20040135,1,25,44
20040137,1, , 
20040138,1, , 
20040139,1,27,37
20040145,1, , 
20040146,1,23,37
20040147,1, , 
20040148,1, , 
20040149,1,24,24
20040151,1,28,42
20040155,1,22,30
20040156,1,27,33
20040159,1,27,33
20040160,1,23,23
20040161,1, , 
20040163,1,24,24
20040164,1, , 
20040166,1,21,33
20040167,1, , 
20040169,1,25,32
20040170,1, , 
20040171,1,23,41
20040172,1, , 
20040173,1, , 
20040177,1,26,29
20040178,1,27,32
20040179,1, , 
20040180,1, , 
20040182,1,20,31
20040183,1,25,29
20040185,1,21,40
20040186,1, , 
20040187,1, , 
20040189,1,21,33
20040192,1, , 
20040193,1,28,33
20040194,1,25,40
20040196,1, , 
20040197,1, , 
20040198,1,24,41
20040202,1,24,37
20040203,1,24,34
20040205,1,21,35
20040206,1,20,38
20040207,1,24,33
20040210,1,25,27
20040211,1,25,32
20040212,1,19,33
20040213,1, , 
20040215,1, , 
20040219,1, , 
20040220,1,24,35
20040221,1, , 
20040222,1, , 
20040223,1,28,40
20040225,1,17,26
20040227,1,28,39
20040228,1, , 
20040232,1, , 
20040233,1,25,33
20040236,1, , 
20040240,1,27,38
20040242,1, , 
20040243,1,27,29
20040244,1, , 
20040252,1,26,37
20040255,1,25,37
20040258,1,25,42
20040260,1,25,29
20040262,1,22,35
20040263,1, , 
